filename,comid
flood_WM_S1B_IW_GRDH_1SDV_20181005T233236_20181005T233301_013024_0180E7_286D.tif,13057564
flood_WM_S1B_IW_GRDH_1SDV_20190504T002157_20190504T002222_016087_01E42D_5B76.tif,2483204
flood_WM_S1B_IW_GRDH_1SDV_20190911T003801_20190911T003826_017983_021DB4_9FC4.tif,20180675
flood_WM_S1A_IW_GRDH_1SDV_20191123T232852_20191123T232917_030045_036E42_5CD8.tif,16636578
flood_WM_S1B_IW_GRDH_1SDV_20190202T233208_20190202T233233_014774_01B8DE_AA68.tif,13040562
flood_WM_S1B_IW_GRDH_1SDV_20190406T235728_20190406T235753_015693_01D719_BA59.tif,13122534
flood_WM_S1A_IW_GRDH_1SDV_20190211T235550_20190211T235615_025889_02E1CC_B9EB.tif,5092728
flood_WM_S1A_IW_GRDH_1SDV_20191123T233057_20191123T233122_030045_036E42_FD82.tif,19485046
flood_WM_S1B_IW_GRDH_1SDV_20190506T000533_20190506T000558_016116_01E51F_5257.tif,2640164
flood_WM_S1A_IW_GRDH_1SDV_20190505T001100_20190505T001125_027085_030D43_74FF.tif,15222446
flood_WM_S1A_IW_GRDH_1SDV_20190220T232908_20190220T232933_026020_02E671_BF57.tif,2157160
flood_WM_S1A_IW_GRDH_1SDV_20181028T003431_20181028T003456_024329_02A9E3_E76A.tif,5297605
flood_WM_S1B_IW_GRDH_1SDV_20190406T235659_20190406T235728_015693_01D719_4E8F.tif,13136801
flood_WM_S1A_IW_GRDH_1SDV_20181227T003454_20181227T003519_025204_02C914_9FB8.tif,5671665
flood_WM_S1A_IW_GRDH_1SDV_20190620T002743_20190620T002808_027756_032208_16A7.tif,430428
flood_WM_S1A_IW_GRDH_1SDV_20191008T001158_20191008T001223_029360_035678_D607.tif,7623182
flood_WM_S1A_IW_GRDH_1SDV_20190608T002718_20190608T002743_027581_031CC8_C871.tif,4133125
flood_WM_S1A_IW_GRDH_1SDV_20190510T001920_20190510T001945_027158_030FB5_40EC.tif,1015843
flood_WM_S1A_IW_GRDH_1SDV_20191013T001953_20191013T002018_029433_035905_492A.tif,614388
flood_WM_S1A_IW_GRDH_1SDV_20190821T001311_20190821T001336_028660_033E4F_C629.tif,5106076
flood_WM_S1A_IW_GRDH_1SDV_20190709T002104_20190709T002129_028033_032A78_C1A6.tif,3646762
flood_WM_S1B_IW_GRDH_1SDV_20180921T234913_20180921T234938_012820_017AAC_4283.tif,13395875
flood_WM_S1A_IW_GRDH_1SDV_20190711T000212_20190711T000237_028062_032B53_074C.tif,18932082
flood_WM_S1A_IW_GRDH_1SDV_20190508T234000_20190508T234025_027143_030F45_D9A2.tif,18460152
flood_WM_S1A_IW_GRDH_1SDV_20180927T004218_20180927T004243_023877_029B1A_88A6.tif,326281
flood_WM_S1A_IW_GRDH_1SDV_20190406T000347_20190406T000412_026662_02FDF2_8712.tif,7573905
flood_WM_S1A_IW_GRDH_1SDV_20190925T223548_20190925T223613_029184_03506A_F358.tif,19334033
flood_WM_S1A_IW_GRDH_1SDV_20190709T001949_20190709T002014_028033_032A78_2293.tif,586916
flood_WM_S1A_IW_GRDH_1SDV_20190406T000502_20190406T000527_026662_02FDF2_A5BA.tif,5001007
flood_WM_S1A_IW_GRDH_1SDV_20190912T003018_20190912T003043_028981_034978_3ABD.tif,11645897
flood_WM_S1A_IW_GRDH_1SDV_20181225T235551_20181225T235616_025189_02C889_DE5E.tif,5092728
flood_WM_S1B_IW_GRDH_1SDV_20190418T235729_20190418T235754_015868_01DCE2_D34D.tif,13122534
flood_WM_S1A_IW_GRDH_1SDV_20181125T230552_20181125T230617_024751_02B91E_C25A.tif,3359504
flood_WM_S1A_IW_GRDH_1SDV_20181026T235553_20181026T235618_024314_02A961_A6E9.tif,13783182
flood_WM_S1A_IW_GRDH_1SDV_20190412T235525_20190412T235550_026764_0301A0_AFAC.tif,14102245
flood_WM_S1B_IW_GRDH_1SDV_20190911T003916_20190911T003941_017983_021DB4_0F23.tif,21539626
flood_WM_S1A_IW_GRDH_1SDV_20190821T001246_20190821T001311_028660_033E4F_8D9F.tif,7502460
flood_WM_S1A_IW_GRDH_1SDV_20190314T234716_20190314T234741_026341_02F212_7836.tif,18392376
flood_WM_S1A_IW_GRDH_1SDV_20181102T234719_20181102T234744_024416_02ACD3_F0CB.tif,18392376
flood_WM_S1B_IW_GRDH_1SDV_20190722T001407_20190722T001432_017239_0206C8_2600.tif,4100631
flood_WM_S1A_IW_GRDH_1SDV_20191125T001313_20191125T001338_030060_036ECD_6C42.tif,5106076
flood_WM_S1A_IW_GRDH_1SDV_20191111T232853_20191111T232918_029870_036834_E8A8.tif,16636578
flood_WM_S1A_IW_GRDH_1SDV_20190831T002813_20190831T002838_028806_034362_81D3.tif,481958
flood_WM_S1A_IW_GRDH_1SDV_20190112T000258_20190112T000323_025437_02D177_C2C4.tif,17965539
flood_WM_S1B_IW_GRDH_1SDV_20190227T011226_20190227T011251_015125_01C468_0479.tif,940050040
flood_WM_S1B_IW_GRDH_1SDV_20181013T112339_20181013T112404_013133_018444_4B87.tif,10538300
flood_WM_S1A_IW_GRDH_1SDV_20190106T235526_20190106T235551_025364_02CED8_8ACA.tif,14102245
flood_WM_S1B_IW_GRDH_1SDV_20181005T233301_20181005T233326_013024_0180E7_79F7.tif,12188915
